,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,nanticoke,41.21,-76.0,62.01,92,40,3.04,US,1603341467
387,buala,-8.14,159.59,79.61,80,100,5.64,SB,1603341338
388,porto empedocle,37.29,13.53,60.01,88,77,1.01,IT,1603341467
389,chumikan,54.72,135.31,39.51,91,100,7.56,RU,1603341467
390,kashan,33.98,51.44,61.68,40,0,4.41,IR,1603341468
391,thompson,55.74,-97.86,23.0,100,90,4.32,CA,1603340741
392,koson,39.04,65.58,51.8,53,67,6.93,UZ,1603341468
393,batemans bay,-35.72,150.18,70.0,75,44,3.0,AU,1603341120
394,limenaria,40.63,24.58,57.99,87,0,4.7,GR,1603341469
395,muros,42.78,-9.06,53.01,92,16,1.01,ES,1603341027
396,bauchi,10.5,10.0,70.0,41,3,1.95,NG,1603341469
397,santiago,-33.46,-70.65,59.0,71,0,5.82,CL,1603340851
398,ulladulla,-35.35,150.47,71.6,64,40,10.29,AU,1603341382
399,zhireken,52.82,117.31,33.33,72,0,5.57,RU,1603341469
400,plettenberg bay,-34.05,23.37,65.1,46,0,3.22,ZA,1603341470
401,shamary,57.34,58.22,28.26,96,100,9.75,RU,1603341470
402,lorengau,-2.02,147.27,83.32,75,89,2.37,PG,1603341470
403,coari,-4.08,-63.14,73.26,94,99,0.83,BR,1603341470
404,yarkovo,57.4,67.08,32.76,92,61,6.4,RU,1603341471
405,grindavik,63.84,-22.43,42.8,87,90,26.4,IS,1603340753
406,kostyantynivka,48.53,37.71,48.47,72,100,7.99,UA,1603341471
407,lebu,-37.62,-73.65,46.22,86,11,15.99,CL,1603341276
408,leningradskiy,69.38,178.42,33.06,91,100,0.74,RU,1603341058
409,tiep,16.24,119.86,83.19,81,96,24.07,PH,1603341472
410,charleston,32.78,-79.93,73.0,94,75,5.82,US,1603341347
411,victoria,22.29,114.16,80.01,61,24,3.0,HK,1603341298
412,manokwari,-0.87,134.08,84.74,67,84,7.54,ID,1603341357
413,moose factory,51.26,-80.61,26.6,92,1,5.82,CA,1603341473
414,los llanos de aridane,28.66,-17.92,66.2,68,2,5.82,ES,1603341473
415,sorata,-15.77,-68.63,46.08,77,89,1.34,BO,1603341473
416,san quintin,30.48,-115.95,64.62,85,10,5.1,MX,1603341014
417,taltal,-25.4,-70.48,55.98,77,14,0.96,CL,1603341473
418,basco,20.45,121.97,83.97,85,60,9.93,PH,1603341389
419,salalah,17.02,54.09,80.6,65,20,3.36,OM,1603340896
420,cabanas,22.98,-82.92,73.4,100,74,3.36,CU,1603341474
421,oksfjord,70.24,22.35,26.6,79,90,8.05,NO,1603341474
422,lao cai,22.48,103.95,83.08,28,28,2.62,VN,1603341475
423,sikandra rao,27.7,78.4,86.4,21,7,3.96,IN,1603341475
424,port hedland,-20.32,118.57,87.8,52,33,18.34,AU,1603341343
425,plouzane,48.38,-4.62,55.4,100,67,4.7,FR,1603341475
426,thaba-tseka,-29.52,28.61,56.84,58,43,2.64,LS,1603341476
427,tari,12.41,4.49,77.04,29,0,5.99,NG,1603341476
428,nabire,-3.37,135.48,85.17,68,63,4.36,ID,1603341476
429,fortuna,40.6,-124.16,53.01,87,1,10.29,US,1603340739
430,tura,25.52,90.22,79.65,88,44,2.86,IN,1603341426
431,billings,45.78,-108.5,37.0,93,90,4.7,US,1603341335
432,poroshkovo,48.67,22.75,46.4,87,19,2.55,UA,1603341477
433,mayya,61.73,130.28,23.0,85,40,4.47,RU,1603341186
434,killybegs,54.63,-8.45,45.0,85,98,5.01,IE,1603341477
435,kranjska gora,46.48,13.79,52.0,91,63,6.17,SI,1603341478
436,juneau,58.3,-134.42,32.0,80,1,6.93,US,1603341333
437,batticaloa,7.71,81.69,88.43,53,1,2.15,LK,1603341478
438,aktash,50.3,87.73,37.62,69,0,6.67,RU,1603341478
439,hokitika,-42.72,170.97,54.88,72,76,10.07,NZ,1603341409
440,caxito,-8.58,13.66,75.2,83,96,3.36,AO,1603341479
441,phuket,8.0,98.25,84.99,74,20,5.82,TH,1603341244
442,meulaboh,4.14,96.13,87.06,60,99,4.97,ID,1603341040
443,winnemucca,40.97,-117.74,51.8,40,1,4.7,US,1603341479
444,moyobamba,-6.05,-76.97,65.93,92,97,0.22,PE,1603341479
445,shakawe,-18.37,21.85,72.55,25,0,7.63,BW,1603341480
446,havre,49.58,0.33,55.4,87,18,8.05,FR,1603341012
447,kinsale,51.71,-8.53,41.0,86,20,8.05,IE,1603341480
448,praia da vitoria,38.73,-27.07,62.6,67,75,16.06,PT,1603340891
449,buin,-33.73,-70.75,57.99,71,0,5.82,CL,1603341481
450,mitsamiouli,-11.38,43.28,81.73,72,31,11.77,KM,1603341481
451,bonavista,48.65,-53.11,46.99,85,81,11.01,CA,1603340788
452,acarau,-2.89,-40.12,79.27,82,5,15.03,BR,1603341383
453,port-cartier,50.03,-66.87,37.4,100,90,14.99,CA,1603341482
454,zalari,53.56,102.51,42.58,62,73,10.0,RU,1603341482
455,komsomolskiy,40.43,71.72,62.6,29,62,4.7,UZ,1603341314
456,yelets,52.62,38.5,40.53,95,96,5.77,RU,1603341482
457,kautokeino,69.01,23.04,23.23,97,99,10.11,NO,1603341483
458,broome,42.25,-75.83,62.01,93,90,4.7,US,1603341345
459,likasi,-10.98,26.73,67.24,84,88,4.56,CD,1603341483
460,kandrian,-6.22,149.55,85.24,68,73,4.41,PG,1603341483
461,palm coast,29.59,-81.21,78.01,100,40,9.48,US,1603341484
462,ilhabela,-23.78,-45.36,70.29,86,7,4.23,BR,1603341484
463,aranos,-24.13,19.12,71.2,26,84,12.01,NA,1603341484
464,chicama,-7.84,-79.15,63.64,82,46,5.84,PE,1603341399
465,parambu,-6.21,-40.69,72.64,73,5,5.19,BR,1603341347
466,chernyshevskiy,63.01,112.47,18.63,95,100,5.91,RU,1603340921
467,sand springs,36.14,-96.11,75.2,78,1,4.7,US,1603341485
468,gulu,2.77,32.3,67.68,95,95,2.68,UG,1603341485
469,hurricane,37.18,-113.29,66.0,22,0,2.15,US,1603341228
470,fort nelson,58.81,-122.7,21.2,62,90,3.36,CA,1603341012
471,dubbo,-32.25,148.62,82.4,32,40,3.36,AU,1603341305
472,ridgecrest,35.62,-117.67,69.01,33,0,5.01,US,1603341486
473,miandrivazo,-19.52,45.47,86.59,41,30,6.33,MG,1603341486
474,krabi,8.07,98.91,86.0,70,75,5.82,TH,1603341487
475,maxixe,-23.86,35.35,71.6,94,20,4.7,MZ,1603341487
476,grafton,42.21,-71.69,66.2,82,90,13.87,US,1603341487
477,bestobe,52.5,73.1,42.26,63,51,14.65,KZ,1603341487
478,tautira,-17.73,-149.15,82.0,74,75,5.82,PF,1603341487
479,preobrazheniye,42.9,133.91,60.01,74,13,6.78,RU,1603341488
480,inirida,3.87,-67.92,75.31,95,83,2.98,CO,1603340909
481,suhbaatar,50.23,106.21,43.47,56,0,8.08,MN,1603341488
482,eruwa,7.53,3.42,72.27,100,23,2.08,NG,1603341488
483,shimoda,34.67,138.95,69.8,68,75,14.99,JP,1603341317
484,shingu,33.73,135.98,77.0,57,75,17.22,JP,1603341489
485,buarcos,40.17,-8.88,55.99,93,20,4.7,PT,1603341489
486,terrace,54.52,-128.6,35.6,100,75,3.36,CA,1603340931
487,kanye,-24.97,25.33,62.62,65,23,19.22,BW,1603341490
488,bayanday,53.07,105.51,44.71,59,10,5.48,RU,1603341106
489,shakhtinsk,49.71,72.59,35.6,74,75,15.66,KZ,1603341490
490,kaitangata,-46.28,169.85,57.09,67,96,6.69,NZ,1603341315
491,ulaangom,49.98,92.07,37.62,71,97,3.13,MN,1603341490
492,kaeo,-35.1,173.78,64.0,83,100,5.01,NZ,1603341080
493,ust-tsilma,65.44,52.15,21.85,97,7,3.85,RU,1603341491
494,vanino,49.09,140.25,58.42,59,65,11.34,RU,1603341491
495,dovolnoye,54.5,79.67,41.23,78,100,18.88,RU,1603341492
496,kushima,31.46,131.23,75.2,88,75,3.36,JP,1603340922
497,cafarnaum,-11.69,-41.47,65.59,90,10,9.89,BR,1603341492
498,koumac,-20.57,164.28,78.85,61,40,4.0,NC,1603341492
499,buchanan,5.88,-10.05,75.2,100,75,2.24,LR,1603341492
500,barabai,-2.58,115.38,97.34,39,87,2.42,ID,1603341493
501,westport,41.14,-73.36,64.99,98,26,4.65,US,1603340876
502,derzhavinsk,51.1,66.32,35.98,85,70,17.25,KZ,1603341493
503,kiri buru,22.08,85.35,82.35,65,79,10.69,IN,1603341493
504,imbituba,-28.24,-48.67,71.6,88,75,10.29,BR,1603341373
505,lakatoro,-16.1,167.42,82.4,78,90,3.36,VU,1603341494
506,linaon,9.95,122.45,85.35,74,79,13.38,PH,1603341494
507,yanam,16.73,82.22,82.4,78,75,8.05,IN,1603341336
508,thayetmyo,19.32,95.18,84.54,72,46,9.22,MM,1603341433
509,calvia,39.57,2.51,73.4,56,99,3.36,ES,1603341495
510,klamath falls,42.22,-121.78,46.4,61,1,10.29,US,1603341495
511,darhan,49.49,105.92,42.35,59,0,10.22,MN,1603341495
512,samarai,-10.62,150.67,81.27,81,6,11.43,PG,1603341495
513,port arthur,38.8,121.27,53.6,40,20,8.95,CN,1603341496
514,myaundzha,63.05,147.19,14.81,87,70,3.85,RU,1603341496
515,luoyang,34.68,112.45,71.4,21,0,2.86,CN,1603341496
516,sloboda,51.14,40.3,42.39,81,100,7.2,RU,1603341496
517,tiznit,29.58,-9.5,62.2,72,100,4.63,MA,1603341497
518,lozuvatka,48.06,33.29,48.2,87,100,2.24,UA,1603341497
519,kaitong,44.81,123.15,43.86,52,0,11.99,CN,1603341497
520,gladstone,-23.85,151.25,78.8,57,65,13.87,AU,1603341497
521,sindal,57.47,10.2,54.0,96,100,5.01,DK,1603341497
522,fowa,8.92,6.4,73.29,83,41,1.34,NG,1603341498
523,olhao,37.03,-7.84,60.8,100,20,4.7,PT,1603341498
524,udachnyy,66.42,112.4,1.4,91,75,2.24,RU,1603340972
525,bonthe,7.53,-12.51,76.24,89,99,3.38,SL,1603341041
526,villa carlos paz,-31.42,-64.5,55.99,99,97,1.41,AR,1603341498
527,kutum,14.2,24.67,71.49,21,10,11.34,SD,1603341034
528,cerrito,6.84,-72.69,52.2,87,100,3.33,CO,1603341499
529,libertador general san martin,-23.81,-64.79,79.0,55,94,2.42,AR,1603340957
530,finschhafen,-6.6,147.87,83.77,71,26,2.86,PG,1603341499
531,talara,-4.58,-81.27,66.34,81,3,13.27,PE,1603341370
532,xapuri,-10.65,-68.5,71.98,95,96,2.53,BR,1603341500
533,banfora,10.63,-4.77,75.96,65,39,2.39,BF,1603341500
534,idritsa,56.33,28.9,44.89,94,100,10.96,RU,1603341500
535,alcaudete,37.59,-4.08,64.0,82,90,2.24,ES,1603341501
536,loukhi,66.08,33.04,30.0,95,100,9.33,RU,1603341501
537,shklo,49.96,23.54,37.4,100,22,2.24,UA,1603341501
538,panama city,8.99,-79.52,81.0,88,32,9.17,PA,1603341330
539,prince rupert,54.32,-130.32,37.4,100,1,8.05,CA,1603340782
540,jalu,29.03,21.55,58.53,75,0,5.37,LY,1603341025
541,irbeyskoye,55.64,95.45,48.31,55,99,4.36,RU,1603341502
542,walvis bay,-22.96,14.51,60.01,82,3,8.05,NA,1603341502
543,kieta,-6.22,155.63,83.32,73,61,7.61,PG,1603341016
544,bilma,18.69,12.92,75.13,20,4,12.08,NE,1603341502
545,port antonio,18.18,-76.46,77.0,94,75,4.7,JM,1603341503
546,ribeira brava,32.65,-17.07,64.4,59,20,9.17,PT,1603341503
547,buloh kasap,2.55,102.76,78.8,83,20,5.82,MY,1603341342
548,kathu,7.92,98.33,84.99,74,20,5.82,TH,1603340938
549,kingseat,56.1,-3.41,48.99,93,90,5.82,GB,1603341503
550,bealanana,-14.55,48.73,69.31,62,83,7.34,MG,1603341504
551,bilibino,68.05,166.44,19.96,95,24,2.51,RU,1603341406
552,normandin,48.83,-72.53,37.4,86,40,4.7,CA,1603341504
553,pontes e lacerda,-15.23,-59.34,74.75,74,24,2.1,BR,1603341418
554,kholm,59.27,32.85,38.23,94,100,8.39,RU,1603341504
555,boras,57.72,12.94,54.0,100,90,11.41,SE,1603341448
556,touros,-5.2,-35.46,75.2,100,90,4.7,BR,1603340792
557,visby,57.64,18.3,55.99,93,90,19.46,SE,1603341108
558,senneterre,48.38,-77.23,37.4,100,90,6.93,CA,1603341505
559,paamiut,61.99,-49.67,31.77,85,0,20.78,GL,1603341372
560,zacualtipan,20.65,-98.6,56.53,100,69,1.74,MX,1603341505
